[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /block/transaction        --> server/controller.PackTransaction (3 handlers)
[GIN-debug] POST   /block/account            --> server/controller.PackAccount (3 handlers)
[GIN-debug] POST   /block/upload             --> server/controller.AppendBlock (3 handlers)
[GIN-debug] POST   /block/uploadproposal     --> server/controller.MultiCastProposal (3 handlers)
[GIN-debug] POST   /block/witness            --> server/controller.PackTransaction (3 handlers)
[GIN-debug] POST   /block/uploadleader       --> server/controller.AppendBlock (3 handlers)
[GIN-debug] GET    /shard/shardNum           --> server/controller.PreRegister (3 handlers)
[GIN-debug] GET    /shard/height             --> server/controller.GetHeight (3 handlers)
[GIN-debug] GET    /shard/register           --> server/controller.RegisterCommunication (3 handlers)
[GIN-debug] POST   /shard/vote               --> server/controller.SendVote (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8088
[GIN] 2023/09/01 - 18:02:16 | 200 |     5.07528ms |       127.0.0.1 | POST     "/block/account"
[GIN] 2023/09/01 - 18:02:16 | 200 |    1.768251ms |       127.0.0.1 | POST     "/block/uploadproposal"
[GIN] 2023/09/01 - 18:02:16 | 200 |      750.96µs |       127.0.0.1 | POST     "/block/uploadproposal"
[GIN] 2023/09/01 - 18:02:16 | 200 |     463.874µs |       127.0.0.1 | POST     "/block/uploadproposal"
[GIN] 2023/09/01 - 18:02:16 | 200 |    1.895126ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    1.872225ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    2.677763ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    2.885372ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    2.558147ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    2.405135ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    2.906625ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    2.884517ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    2.766512ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |     760.062µs |       127.0.0.1 | POST     "/block/uploadleader"
[GIN] 2023/09/01 - 18:02:16 | 200 |    1.786865ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    1.726506ms |       127.0.0.1 | POST     "/block/uploadleader"
